HHID,Migration,Internal migration,International migration,Age (HH head),Female (HH head),Secondary education (HH head),HH size,Ethnic minority,Sex ratio,Married females,Married males,ln(savings + 1),Nonfarm income,Temp. anomaly (+),Temp. anomaly (-),Prec. anomaly (+),Prec. anomaly (-),zone,region,kebele
7850724,2,2,0,60.0,0.0,0.0,6.0,0,0.3333333333333333,0.5,0.25,0.0,0.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,722.0
7904221,1,1,0,38.0,0.0,0.0,8.0,0,0.625,0.2,0.3333333333333333,12.206077645517674,1.0,10.82193004126784,-10.041669097613656,-5.10283144680966,-3.9297380403708218,Arsi,Oromia,421.0
7930723,2,2,0,45.0,0.0,0.0,9.0,0,0.4444444444444444,0.25,0.2,5.303304908059076,0.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,721.0
7970123,1,1,0,30.0,1.0,0.0,4.0,0,0.5,0.5,0.0,5.525452939131784,1.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,121.0
8010111,0,0,0,35.0,1.0,0.0,5.0,0,0.8,0.0,0.0,0.0,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
8020124,0,0,0,24.0,0.0,0.0,3.0,0,0.3333333333333333,1.0,0.5,0.0,0.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,122.0
8030101,2,2,0,55.0,1.0,0.0,6.0,0,0.8333333333333334,0.2,0.0,0.0,1.0,3.923659034320672,-1.6024774897055174,1.3519842247957,2.6493014258973773,East Hararge,Amhara,311.0
8030712,0,0,0,35.0,0.0,0.0,4.0,0,0.75,0.3333333333333333,1.0,0.0,1.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,712.0
8040712,2,2,1,48.0,1.0,0.0,8.0,0,0.375,0.6666666666666666,0.0,0.0,0.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,712.0
8090723,2,2,0,60.0,1.0,0.0,5.0,0,0.4,0.5,0.0,0.0,1.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,721.0
8180123,0,1,2,45.0,1.0,0.0,7.0,0,0.4285714285714285,0.3333333333333333,0.25,0.0,0.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,121.0
8190712,1,2,1,45.0,0.0,0.0,11.0,0,0.0909090909090909,1.0,0.2,0.0,0.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,712.0
8190723,0,0,0,35.0,0.0,0.0,5.0,0,0.6,0.3333333333333333,0.5,0.0,1.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,721.0
8200724,2,2,0,50.0,0.0,0.0,7.0,0,0.4285714285714285,0.3333333333333333,0.5,4.31748811353631,1.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,722.0
